Date,Adj Close,
01-07-1997,4300.86,
02-07-1997,4333.90,
03-07-1997,4323.46,
04-07-1997,4323.82,
07-07-1997,4291.45,
08-07-1997,4306.39,
09-07-1997,4404.69,
10-07-1997,4378.37,
11-07-1997,4321.98,
14-07-1997,4225.02,
15-07-1997,4221.02,
16-07-1997,4183.42,
17-07-1997,4193.61,
18-07-1997,4124.81,
21-07-1997,4154.28,
22-07-1997,4186.29,
23-07-1997,4251.13,
24-07-1997,4226.37,
25-07-1997,4189.81,
28-07-1997,4181.48,
29-07-1997,4217.58,
30-07-1997,4244.89,
31-07-1997,4305.76,
01-08-1997,4347.32,
04-08-1997,4465.37,
05-08-1997,4548.02,
06-08-1997,4523.01,
07-08-1997,4447.06,
08-08-1997,4397.54,
11-08-1997,4481.30,
12-08-1997,4425.03,
13-08-1997,4370.13,
14-08-1997,4320.97,
19-08-1997,4165.37,
20-08-1997,4234.63,
21-08-1997,4156.16,
22-08-1997,4047.67,
26-08-1997,4107.24,
27-08-1997,4097.56,
28-08-1997,3963.15,
29-08-1997,3876.08,
01-09-1997,3943.67,
02-09-1997,3950.03,
03-09-1997,3965.39,
04-09-1997,4007.04,
05-09-1997,4032.35,
08-09-1997,4087.30,
09-09-1997,4031.55,
10-09-1997,4045.61,
11-09-1997,4010.07,
12-09-1997,3995.94,
15-09-1997,4018.42,
16-09-1997,4012.59,
17-09-1997,3928.33,
18-09-1997,3884.77,
19-09-1997,3825.12,
22-09-1997,3770.99,
23-09-1997,3822.42,
24-09-1997,3825.91,
25-09-1997,3887.56,
26-09-1997,3925.24,
29-09-1997,3912.83,
30-09-1997,3902.03,4153.16
01-10-1997,3905.51,4146.89
03-10-1997,3847.73,4139.17
06-10-1997,3857.34,4131.77
07-10-1997,3909.46,4125.19
08-10-1997,3930.23,4119.46
09-10-1997,3979.96,4114.28
10-10-1997,4057.37,4108.76
13-10-1997,4066.05,4103.81
14-10-1997,4012.40,4098.89
15-10-1997,4034.55,4095.87
16-10-1997,4077.05,4093.58
17-10-1997,4106.26,4092.36
20-10-1997,4154.84,4091.74
21-10-1997,4116.99,4091.62
22-10-1997,4082.70,4090.48
23-10-1997,4009.77,4087.68
24-10-1997,3957.46,4083.02
27-10-1997,3934.33,4078.39
30-10-1997,3803.24,4072.25
03-11-1997,3790.82,4066.05
04-11-1997,3805.95,4059.51
05-11-1997,3778.23,4052.11
06-11-1997,3763.96,4043.51
07-11-1997,3747.32,4033.98
10-11-1997,3721.05,4022.17
11-11-1997,3723.40,4009.08
12-11-1997,3633.18,3994.96
13-11-1997,3554.10,3980.78
14-11-1997,3569.77,3967.64
